id,titulo_producto,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
11,Safety 1st Barrera a presión Quick Close+,4.10,14,4.77,,
12,Safety 1st Barrera a presión Quick Close+,,,,,
13,Hot Wheels Vehículos pack 5,4.50,47,8.49,https://www.lidl.es/assets/gcp1ec15fc2c1e244579311290f342570a8.jpg,https://www.lidl.es/p/hot-wheels-vehiculos-pack-5/p100381791#searchTrackingMasterId=Product.100381791&searchTrackingTitle=Hot%2BWheels%2BVeh%25C3%25ADculos%2Bpack%2B5&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100381791&searchTrackingOrigPos=1&searchTrackingPos=3&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
14,Hot Wheels Vehículos pack 5,4.50,47,8.49,,
15,Hot Wheels Vehículos pack 5,,,,,
16,esmara Men Pijama corto para hombre,4.70,16,5.60,https://www.lidl.es/assets/gcpb244a3d6b0d3486ca449153637179e4c.jpg,https://www.lidl.es/p/esmara-men-pijama-corto-para-hombre/p100390396#searchTrackingMasterId=Product.100390396&searchTrackingTitle=Pijama%2Bcorto%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390396&searchTrackingOrigPos=1&searchTrackingPos=4&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
17,esmara Men Pijama corto para hombre,4.70,16,5.60,,
18,Pijama corto para hombre,,,,,
19,Philips Plancha de vapor 2000 W,4.10,25,5.47,https://www.lidl.es/assets/gcp8c1f6ec3facf4dbbbcc9285ceac5dc28.jpg,https://www.lidl.es/p/philips-plancha-de-vapor-2000-w/p100361680#searchTrackingMasterId=Product.100361680&searchTrackingTitle=Philips%2BPlancha%2Bde%2Bvapor%2B2000%2BW&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100361680&searchTrackingOrigPos=1&searchTrackingPos=5&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
20,Philips Plancha de vapor 2000 W,4.10,25,5.47,,
21,Philips Plancha de vapor 2000 W,,,,,
22,CRIVIT Tabla de equilibrio/ Pelota de gimnasia/ Set de bandas de fitness (tabla de equilibrio),3.49,50,6.98,https://www.lidl.es/assets/gcp35605554d2774b27a52e993fa5d84104.jpg,https://www.lidl.es/p/crivit-tabla-de-equilibrio-pelota-de-gimnasia-set-de-bandas-de-fitness/p100384052001#searchTrackingMasterId=Product.100384052001&searchTrackingTitle=CRIVIT%2BTabla%2Bde%2Bequilibrio%252F%2BPelota%2Bde%2Bgimnasia%252F%2BSet%2Bde%2Bbandas%2Bde%2Bfitness%2B%2528tabla%2Bde%2Bequilibrio%2529&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100384052001&searchTrackingOrigPos=1&searchTrackingPos=6&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
23,CRIVIT Tabla de equilibrio/ Pelota de gimnasia/ Set de bandas de fitness (tabla de equilibrio),3.49,50,6.98,,
24,Tabla de equilibrio/ Pelota de gimnasia/ Set de bandas de fitness (tabla de equilibrio),,,,,
25,CRIVIT Calcetines deportivos,2.49,16,2.96,https://www.lidl.es/assets/gcp10acd032a83745a082ebfef039659635.jpg,https://www.lidl.es/p/crivit-calcetines-deportivos/p100389504#searchTrackingMasterId=Product.100389504&searchTrackingTitle=Calcetines%2Bdeportivos&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389504&searchTrackingOrigPos=1&searchTrackingPos=7&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
26,CRIVIT Calcetines deportivos,2.49,16,2.96,,
27,Calcetines deportivos,,,,,
