id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
669,esmara® Vestido de franela para mujer,esmara®,6.99,22,8.99,https://www.lidl.es/assets/gcpaa36d81405144808855171691d8ee0b4.jpg,https://www.lidl.es/p/esmara-vestido-de-franela-para-mujer/p100392954
670,LIVARNO home Lámpara de sobremesa,LIVARNO home,8.99,10,9.99,https://www.lidl.es/assets/gcp7c7a309544b04f0ca8989fc98c9286a1.jpg,https://www.lidl.es/p/livarno-home-lampara-de-sobremesa/p100392968
671,"SILVERCREST® Hervidor de agua 3000w, 1,7L (gris)",SILVERCREST®,17.99,18,21.99,https://www.lidl.es/assets/gcp7e82e68b7b6c4f0d8e072447d110b132.png,https://www.lidl.es/p/silvercrest-hervidor-de-agua-3000w-1-7l/p100392998001
672,LIVARNO home Lámpara de techo,LIVARNO home,13.99,17,16.99,https://www.lidl.es/assets/gcp987674f542714c67a2f3aaa04baf5ae7.jpg,https://www.lidl.es/p/livarno-home-lampara-de-techo/p100393031
673,Bissell Limpiador de alfombras PowerWash Pet,Bissell,215.99,28,239.99,https://www.lidl.es/assets/gcpd2cd8ee3c88d4602a7155a1a705205d2.png,https://www.lidl.es/p/bissell-limpiador-de-alfombras-powerwash-pet/p100393035
674,ULTIMATE SPEED® Set de fundas para neumáticos,ULTIMATE SPEED®,8.99,25,11.99,https://www.lidl.es/assets/gcp2c6d198806874b7f80bfec4e9a13941c.jpg,https://www.lidl.es/p/ultimate-speed-set-de-fundas-para-neumaticos/p100393116
675,Bestway® Piscina Bestway Fast Set Ø 366 x 76 cm,Bestway,74.99,34,114.95,https://www.lidl.es/assets/gcpa3403b57b9b7453ba64e364c22457989.jpg,https://www.lidl.es/p/bestway-piscina-bestway-fast-set-o-366-x-76-cm/p100393555
676,LIVARNO home Figura decorativa con LED,LIVARNO home,4.99,16,5.99,https://www.lidl.es/assets/gcp5a256fe2bfa54454b0a7f8ee709a400e.jpg,https://www.lidl.es/p/livarno-home-figura-decorativa-con-led/p100393589
677,W5 Organizador para colgar (Estante colgante negro),W5,5.99,14,6.99,https://www.lidl.es/assets/gcp00cde7ad9a6248c2b06c1e2e094c6cf8.jpg,https://www.lidl.es/p/w5-organizador-para-colgar/p100393590002
678,CIEN Beauty Afeitadora femenina,CIEN Beauty,5.99,25,7.99,https://www.lidl.es/assets/gcp4de5c71ba47146518344caf72256843d.png,https://www.lidl.es/p/cien-beauty-afeitadora-femenina/p100393658
679,LIVARNO home Lámpara recargable de sobremesa,LIVARNO home,11.99,20,14.99,https://www.lidl.es/assets/gcp1207375b82c842fb957862d0cc74f498.jpg,https://www.lidl.es/p/livarno-home-lampara-recargable-de-sobremesa/p100393683
680,LIVARNO home Lámpara LED recargable de sobremesa (azul),LIVARNO home,11.99,20,14.99,https://www.lidl.es/assets/gcp0316cfe50a0a422eb285ecf65dea5f99.jpg,https://www.lidl.es/p/livarno-home-lampara-led-recargable-de-sobremesa/p100393716004
681,LIVARNO home Lámpara LED recargable de sobremesa (antracita),LIVARNO home,9.49,20,11.99,https://www.lidl.es/assets/gcp943758961a4645019e4b3c5fd5cac8a6.jpg,https://www.lidl.es/p/livarno-home-lampara-led-recargable-de-sobremesa/p100393726001
682,esmara® Chaleco para mujer,esmara®,7.99,20,9.99,https://www.lidl.es/assets/gcpfcad66a39a7544b7b80d33bb9c292ba7.jpg,https://www.lidl.es/p/esmara-chaleco-para-mujer/p100393893
